Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440702774315,1440702788057,13742,True,
1,count at DataValidators.scala:38,,1600,1440702788509,1440704045521,1257012,True,
2,count at GradientDescent.scala:161,,1600,1440704045651,1440704162210,116559,True,
3,treeAggregate at GradientDescent.scala:189,,1600,1440704163417,1440704290141,126724,True,
4,treeAggregate at GradientDescent.scala:189,3,40,1440704290160,1440704291620,1460,True,
5,treeAggregate at GradientDescent.scala:189,,1600,1440704291755,1440704425068,133313,True,
6,treeAggregate at GradientDescent.scala:189,5,40,1440704425074,1440704425619,545,True,
7,treeAggregate at GradientDescent.scala:189,,1600,1440704425706,1440704576176,150470,True,
8,treeAggregate at GradientDescent.scala:189,7,40,1440704576182,1440704576790,608,True,
9,mean at LogisticRegressionApp.java:93,,1600,1440704576873,1440704726251,149378,True,
