Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438277055746,1438277069979,14233,True,
1,count at DataValidators.scala:38,,800,1438277070297,1438277713416,643119,True,
2,count at GradientDescent.scala:161,,800,1438277713498,1438277748273,34775,True,
3,treeAggregate at GradientDescent.scala:189,,800,1438277749464,1438277787213,37749,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1438277787227,1438277787946,719,True,
5,treeAggregate at GradientDescent.scala:189,,800,1438277788045,1438277823935,35890,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1438277823941,1438277824319,378,True,
7,treeAggregate at GradientDescent.scala:189,,800,1438277824427,1438277864865,40438,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1438277864872,1438277865141,269,True,
9,mean at LogisticRegressionApp.java:93,,800,1438277865419,1438277903695,38276,True,
