Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,191203,191356,153,0.07995568
1,1255148,1255536,388,0.030903136
2,566465,566536,71,0.012532301
3,564662,564726,64,0.01133293
4,509877,509946,69,0.013530844
5,590657,590723,66,0.011172749
6,591679,591744,65,0.010984479
7,523599,523664,65,0.012412539
8,567445,567508,63,0.011101165
9,531056,531114,58,0.010920443
10,546308,546373,65,0.0118966345
11,492882,492940,58,0.0117661385
12,478353,478404,51,0.010660445
13,35250,35354,104,0.29416758
