Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440172203444,1440172214619,11175,True,
1,count at DataValidators.scala:38,,800,1440172214918,1440172935892,720974,True,
2,count at GradientDescent.scala:161,,800,1440172935971,1440172977745,41774,True,
3,treeAggregate at GradientDescent.scala:189,,800,1440172979075,1440173027918,48843,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1440173027931,1440173029213,1282,True,
5,treeAggregate at GradientDescent.scala:189,,800,1440173029315,1440173073621,44306,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1440173073627,1440173073917,290,True,
7,treeAggregate at GradientDescent.scala:189,,800,1440173073979,1440173117696,43717,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1440173117701,1440173118009,308,True,
9,mean at LogisticRegressionApp.java:93,,800,1440173118064,1440173165778,47714,True,
