Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,251458,251627,169,0.0671629
1,2195340,2195822,482,0.021950778
2,863429,863522,93,0.010769847
3,987150,987240,90,0.009116325
4,869924,870004,80,0.00919536
5,887711,887790,79,0.0088985
6,796366,796444,78,0.009793532
7,860567,860648,81,0.009411513
8,873946,874028,82,0.00938185
9,788736,788816,80,0.0101417815
10,775200,775281,81,0.010447824
11,782350,782432,82,0.010480144
12,692679,692751,72,0.010393345
13,47190,47249,59,0.12487037
