Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,8334,8430,96,1.13879
1,247302,247536,234,0.0945317
2,979,1038,59,5.6840076
3,3042,3171,129,4.068117
4,1821,1899,78,4.107425
5,1786,1827,41,2.244116
6,3717,3747,30,0.8006405
