Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438266777299,1438266785633,8334,True,
1,count at DataValidators.scala:38,,800,1438266785930,1438267033232,247302,True,
2,count at GradientDescent.scala:161,,800,1438267033306,1438267034285,979,True,
3,treeAggregate at GradientDescent.scala:189,,800,1438267035419,1438267038008,2589,True,
4,treeAggregate at GradientDescent.scala:189,3,27,1438267038022,1438267038475,453,True,
5,treeAggregate at GradientDescent.scala:189,,800,1438267038574,1438267040245,1671,True,
6,treeAggregate at GradientDescent.scala:189,5,27,1438267040251,1438267040401,150,True,
7,treeAggregate at GradientDescent.scala:189,,800,1438267040462,1438267042119,1657,True,
8,treeAggregate at GradientDescent.scala:189,7,27,1438267042124,1438267042253,129,True,
9,mean at LogisticRegressionApp.java:93,,800,1438267042308,1438267046025,3717,True,
