Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,214879,215134,255,0.11853077
1,1496488,1497004,516,0.034468845
2,708224,708358,134,0.018916987
3,665959,666134,175,0.026270991
4,887200,887308,108,0.0121716475
5,832754,832866,112,0.013447542
6,722187,722318,131,0.018136056
7,697111,697205,94,0.013482405
8,734118,734244,126,0.017160507
9,600048,600173,125,0.020827329
10,670413,670504,91,0.01357188
11,642932,643021,89,0.013840916
12,534874,534959,85,0.015889067
13,29798,30031,233,0.77586496
