Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440212218957,1440212234422,15465,True,
1,count at DataValidators.scala:38,,1600,1440212234909,1440214102180,1867271,True,
2,count at GradientDescent.scala:161,,1600,1440214102339,1440214262972,160633,True,
3,treeAggregate at GradientDescent.scala:189,,1600,1440214264176,1440214415823,151647,True,
4,treeAggregate at GradientDescent.scala:189,3,40,1440214415839,1440214417347,1508,True,
5,treeAggregate at GradientDescent.scala:189,,1600,1440214417483,1440214577609,160126,True,
6,treeAggregate at GradientDescent.scala:189,5,40,1440214577615,1440214578247,632,True,
7,treeAggregate at GradientDescent.scala:189,,1600,1440214578331,1440214738726,160395,True,
8,treeAggregate at GradientDescent.scala:189,7,40,1440214738733,1440214739297,564,True,
9,mean at LogisticRegressionApp.java:93,,1600,1440214739408,1440214909056,169648,True,
