Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440729247159,1440729260637,13478,True,
1,count at DataValidators.scala:38,,2400,1440729261234,1440731287607,2026373,True,
2,count at GradientDescent.scala:161,,2400,1440731287772,1440731457710,169938,True,
3,treeAggregate at GradientDescent.scala:189,,2400,1440731458913,1440731631161,172248,True,
4,treeAggregate at GradientDescent.scala:189,3,48,1440731631180,1440731632552,1372,True,
5,treeAggregate at GradientDescent.scala:189,,2400,1440731632721,1440731833327,200606,True,
6,treeAggregate at GradientDescent.scala:189,5,48,1440731833333,1440731834363,1030,True,
7,treeAggregate at GradientDescent.scala:189,,2400,1440731834484,1440732093013,258529,True,
8,treeAggregate at GradientDescent.scala:189,7,48,1440732093019,1440732096410,3391,True,
9,mean at LogisticRegressionApp.java:93,,2400,1440732096534,1440732312655,216121,True,
