Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,213620,213752,132,0.061753806
1,1218821,1219249,428,0.035103578
2,554749,554818,69,0.012436511
3,530923,530986,63,0.011864719
4,504834,504901,67,0.013269928
5,548222,548278,56,0.010213796
6,568168,568234,66,0.011614934
7,577197,577257,60,0.010393984
8,581859,581928,69,0.011857137
9,588989,589041,52,0.008827909
10,507841,507900,59,0.01161646
11,486309,486363,54,0.011102818
12,526299,526357,58,0.011019138
13,42250,42437,187,0.44065318
