Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1438358414774,1438358430035,15261,0,0,0,
1,1438358430110,1438359996314,1566204,1,1,1,
2,1438359996336,1438360178357,182021,2,2,2,
3,1438360179564,1438360372569,193005,3 4,4,3,
4,1438360372595,1438360574806,202211,5 6,6,5,
5,1438360574829,1438360768548,193719,7 8,8,7,
6,1438360768608,1438360956088,187480,9,9,9,
