Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438328273686,1438328288815,15129,True,
1,count at DataValidators.scala:38,,2400,1438328289407,1438329664276,1374869,True,
2,count at GradientDescent.scala:161,,2400,1438329664435,1438329799445,135010,True,
3,treeAggregate at GradientDescent.scala:189,,2400,1438329800715,1438329942202,141487,True,
4,treeAggregate at GradientDescent.scala:189,3,48,1438329942220,1438329944996,2776,True,
5,treeAggregate at GradientDescent.scala:189,,2400,1438329945168,1438330100570,155402,True,
6,treeAggregate at GradientDescent.scala:189,5,48,1438330100579,1438330101327,748,True,
7,treeAggregate at GradientDescent.scala:189,,2400,1438330101451,1438330244782,143331,True,
8,treeAggregate at GradientDescent.scala:189,7,48,1438330244787,1438330245422,635,True,
9,mean at LogisticRegressionApp.java:93,,2400,1438330245553,1438330383485,137932,True,
