Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,221789,221986,197,0.088744335
1,2165811,2166314,503,0.023219164
2,905064,905153,89,0.009832592
3,834994,835089,95,0.011376034
4,766750,766831,81,0.010562953
5,891154,891238,84,0.0094250925
6,860566,860646,80,0.009295343
7,858882,858961,79,0.009197158
8,704346,704420,74,0.010505097
9,729845,729941,96,0.013151747
10,726342,726423,81,0.011150528
11,826431,826489,58,0.007017637
12,672201,672262,61,0.009073843
13,41259,41347,88,0.21283284
