Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,281551,281741,190,0.06743783
1,2499485,2499917,432,0.017280575
2,1024595,1024689,94,0.009173515
3,1005316,1005399,83,0.008255429
4,933268,933349,81,0.008678426
5,1048995,1049078,83,0.007911709
6,1018853,1018923,70,0.006869999
7,999505,999589,84,0.008403454
8,1036647,1036734,87,0.008391738
9,1284728,1284806,78,0.006070955
10,938383,938461,78,0.00831148
11,844642,844717,75,0.0088787135
12,820405,820485,80,0.009750331
13,62461,62529,68,0.10874954
