Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,114085,114259,174,0.15228559
1,1073131,1073552,421,0.039215613
2,394691,394773,82,0.02077143
3,399779,399857,78,0.019506974
4,305256,305340,84,0.027510317
5,385656,385721,65,0.01685156
6,421257,421353,96,0.022783745
7,633743,633806,63,0.00993995
8,353849,353906,57,0.01610597
9,402490,402547,57,0.014159837
10,321647,321708,61,0.018961294
11,319460,319515,55,0.01721359
12,352812,352870,58,0.01643665
13,14371,14422,51,0.3536264
