Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,110560,110706,146,0.13188083
1,710297,710644,347,0.048828952
2,358541,358606,65,0.018125743
3,357821,357882,61,0.017044723
4,322482,322549,67,0.020772038
5,315468,315526,58,0.018382004
6,415934,415987,53,0.012740782
7,338157,338222,65,0.019218147
8,391113,391170,57,0.0145716695
9,343847,343899,52,0.015120719
10,309342,309403,61,0.019715387
11,287782,287857,75,0.026054604
12,274953,274997,44,0.016000174
13,25740,25932,192,0.74039793
