Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,102750,102894,144,0.13994986
1,920874,921379,505,0.05480915
2,311485,311603,118,0.0378687
3,365238,365370,132,0.03612776
4,346492,346627,135,0.038946763
5,338752,338864,112,0.033051606
6,300514,300600,86,0.028609447
7,318161,318248,87,0.02733717
8,359560,359683,123,0.03419678
9,365460,365531,71,0.019423798
10,311596,311652,56,0.01796876
11,292584,292642,58,0.019819438
12,257678,257763,85,0.032976028
13,12053,12223,170,1.3908205
