Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,210605,210758,153,0.07259511
1,1809323,1809889,566,0.031272635
2,742728,742819,91,0.012250628
3,772638,772724,86,0.011129459
4,768667,768746,79,0.010276476
5,839718,839816,98,0.011669223
6,771214,771296,82,0.010631457
7,782085,782164,79,0.010100184
8,703674,703771,97,0.013782893
9,739121,739203,82,0.011093028
10,672152,672217,65,0.009669497
11,674010,674069,59,0.008752814
12,670428,670486,58,0.008650442
13,21191,21258,67,0.31517547
