Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1438293752256,1438293766105,13849,0,0,0,
1,1438293766169,1438294713016,946847,1,1,1,
2,1438294713034,1438294790023,76989,2,2,2,
3,1438294791844,1438294876173,84329,3 4,4,3,
4,1438294876204,1438294973140,96936,5 6,6,5,
5,1438294973163,1438295073051,99888,7 8,8,7,
6,1438295073120,1438295160149,87029,9,9,9,
