Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1438322467688,1438322481879,14191,True,
1,count at DataValidators.scala:38,,2400,1438322482500,1438323812792,1330292,True,
2,count at GradientDescent.scala:161,,2400,1438323812948,1438323948455,135507,True,
3,treeAggregate at GradientDescent.scala:189,,2400,1438323949791,1438324089829,140038,True,
4,treeAggregate at GradientDescent.scala:189,3,48,1438324089847,1438324091458,1611,True,
5,treeAggregate at GradientDescent.scala:189,,2400,1438324091616,1438324226068,134452,True,
6,treeAggregate at GradientDescent.scala:189,5,48,1438324226077,1438324226701,624,True,
7,treeAggregate at GradientDescent.scala:189,,2400,1438324226817,1438324371819,145002,True,
8,treeAggregate at GradientDescent.scala:189,7,48,1438324371837,1438324372455,618,True,
9,mean at LogisticRegressionApp.java:93,,2400,1438324372577,1438324509159,136582,True,
