Job ID,Submission Time,Completion Time,Duration,Stage IDs,maxStageID,minStageID,
0,1438322467553,1438322481884,14331,0,0,0,
1,1438322481981,1438323812792,1330811,1,1,1,
2,1438323812812,1438323948455,135643,2,2,2,
3,1438323949592,1438324091458,141866,3 4,4,3,
4,1438324091485,1438324226701,135216,5 6,6,5,
5,1438324226723,1438324372455,145732,7 8,8,7,
6,1438324372506,1438324509159,136653,9,9,9,
