Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,9153,9242,89,0.962995
1,314973,315207,234,0.07423693
2,1791,1853,62,3.3459253
3,4694,4828,134,2.7754762
4,3117,3193,76,2.3802066
5,2707,2746,39,1.4202477
6,5251,5283,32,0.60571647
