Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1440698723619,1440698737099,13480,True,
1,count at DataValidators.scala:38,,1600,1440698737540,1440699807707,1070167,True,
2,count at GradientDescent.scala:161,,1600,1440699807832,1440699889474,81642,True,
3,treeAggregate at GradientDescent.scala:189,,1600,1440699890690,1440699970570,79880,True,
4,treeAggregate at GradientDescent.scala:189,3,40,1440699970585,1440699971751,1166,True,
5,treeAggregate at GradientDescent.scala:189,,1600,1440699971882,1440700044715,72833,True,
6,treeAggregate at GradientDescent.scala:189,5,40,1440700044722,1440700045140,418,True,
7,treeAggregate at GradientDescent.scala:189,,1600,1440700045228,1440700117628,72400,True,
8,treeAggregate at GradientDescent.scala:189,7,40,1440700117636,1440700118140,504,True,
9,mean at LogisticRegressionApp.java:93,,1600,1440700118512,1440700200887,82375,True,
