Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,190834,190972,138,0.0722619
1,1231522,1231896,374,0.030359704
2,557419,557488,69,0.012376948
3,528902,528970,68,0.01285517
4,569404,569467,63,0.011062976
5,553105,553165,60,0.0108466735
6,566127,566181,54,0.009537586
7,620706,620768,62,0.009987628
8,488920,488973,53,0.010839044
9,511263,511329,66,0.012907541
10,507117,507172,55,0.010844448
11,514718,514771,53,0.01029584
12,459616,459673,57,0.01240012
13,44134,44198,64,0.14480293
