App ID,Real Duration,Estimated Duration,Error,Error Percentage,Size
app-20150724132028-0391,1137860,797906,339954,29.9,2.28
app-20150724134231-0394,937671,1387875,450204,48.0,4.84
app-20150724140110-0397,2119805,1980739,139066,6.6,7.38
app-20150724143959-0400,3318443,2581369,737074,22.2,9.93
app-20150724153856-0403,4453914,3184812,1269102,28.5,12.47
app-20150724165655-0406,3338873,3795271,456398,13.7,15.01
app-20150724175627-0409,3913650,4413501,499851,12.8,17.56
app-20150724190548-0412,4591750,5041327,449577,9.8,20.12
app-20150724202640-0415,6011664,5712348,299316,5.0,22.83
app-20150724221135-0418,5915002,6422804,507802,8.6,25.67
app-20150724235520-0421,6362825,7139361,776536,12.2,28.51
app-20150725014645-0424,7514761,7862505,347744,4.6,31.34
app-20150725035730-0427,7373761,8592816,1219055,16.5,34.17
app-20150725060635-0430,8522695,9329793,807098,9.5,37.0
app-20150725083447-0433,8532639,10073692,1541053,18.1,39.82
app-20150725110329-0436,10106212,10826548,720336,7.1,42.65
app-20150725135856-0439,10110233,11587759,1477526,14.6,45.48
app-20150725165445-0442,10699129,12354198,1655069,15.5,48.31
