Stage ID,Stage Name,Parent IDs,Number of Tasks,Submission Time,Completion Time,Duration,Executed,
0,first at GeneralizedLinearAlgorithm.scala:182,,1,1437610489313,1437610504764,15451,True,
1,count at GradientDescent.scala:161,,1440,1437610505212,1437611146307,641095,True,
2,treeAggregate at GradientDescent.scala:189,,1440,1437611147495,1437611296857,149362,True,
3,treeAggregate at GradientDescent.scala:189,2,37,1437611296871,1437611298209,1338,True,
4,treeAggregate at GradientDescent.scala:189,,1440,1437611298353,1437611433563,135210,True,
5,treeAggregate at GradientDescent.scala:189,4,37,1437611433573,1437611434085,512,True,
6,treeAggregate at GradientDescent.scala:189,,1440,1437611434170,1437611570426,136256,True,
7,treeAggregate at GradientDescent.scala:189,6,37,1437611570434,1437611570957,523,True,
8,mean at LinearRegressionApp.java:100,,1440,1437611571047,1437611723692,152645,True,
