Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,222057,222228,171,0.076948
1,1778003,1778489,486,0.027326567
2,801134,801222,88,0.010983223
3,658934,659015,81,0.012291072
4,786666,786751,85,0.010803927
5,752956,753030,74,0.009826966
6,788043,788115,72,0.009135723
7,744605,744682,77,0.010339984
8,693625,693705,80,0.01153228
9,807263,807334,71,0.008794378
10,747480,747536,56,0.007491278
11,673630,673685,55,0.008164053
12,695371,695430,59,0.008483959
13,35522,35585,63,0.17704087
